county,year,totalPopulation
Park,2013,15727
Logan,2020,21406
Kiowa,2001,1607
Moffat,1993,11797
Fremont,2046,51492
Montezuma,1992,19654
Delta,2025,31678
Jackson,1994,1646
El Paso,2032,854300
Rio Grande,2043,10783
Otero,2017,18762
Morgan,2014,28165
Kiowa,2037,1357
Arapahoe,2050,827721
El Paso,1991,405951
Saguache,2026,6539
Kit Carson,1990,7140
Morgan,2035,32489
Dolores,2041,1828
Archuleta,2014,11932
Kit Carson,2020,7077
Elbert,2041,37898
Summit,2046,36530
Custer,2001,3728
Mineral,2025,920
Kit Carson,2017,7402
Dolores,2012,2077
Rio Grande,2047,10403
Delta,1999,27408
Archuleta,2034,16324
Summit,2039,35055
El Paso,2034,875321
Jackson,2025,1323
Pueblo,2025,173461
Huerfano,1992,6182
Fremont,1991,32236
Washington,2047,4427
Baca,2045,2991
Saguache,2004,6242
Saguache,2050,6809
Morgan,2031,31588
Denver,2040,859004
Phillips,1998,4565
Elbert,2036,37197
Rio Grande,1995,11695
Weld,2029,418367
El Paso,1993,437127
Fremont,2012,47130
Mineral,2009,712
Custer,2004,3984
Phillips,2048,4375
Elbert,2014,23569
Weld,2003,207156
Elbert,2043,37896
Routt,2029,28641
Otero,2024,18399
Fremont,2010,46854
El Paso,2023,756951
Bent,2030,5483
Denver,1999,545515
Cheyenne,2001,2170
Prowers,2007,12777
El Paso,2025,778050
Lincoln,2029,5996
Fremont,1998,43817
Weld,2000,183074
El Paso,2047,978863
San Juan,2015,701
Clear Creek,2036,10613
Weld,2048,602765
Routt,2014,23661
Elbert,2022,27262
Broomfield,2028,91730
Ouray,2018,4735
Mineral,2030,929
Saguache,2015,6180
Baca,2034,3150
Alamosa,2034,16926
Sedgwick,2047,2338
Kiowa,2038,1347
Chaffee,1997,15409
Rio Grande,2039,11090
Ouray,2007,4275
Kit Carson,2029,7069
Fremont,2001,46738
Chaffee,2039,21935
Larimer,2050,510876
Gilpin,2025,5775
Montezuma,2027,27128
Hinsdale,2046,848
Cheyenne,2027,1744
Hinsdale,1992,504
La Plata,2042,74484
Kiowa,2017,1424
Otero,2037,16757
Moffat,2029,12865
Jefferson,2025,596798
Clear Creek,1991,7663
Summit,1996,19396
Pueblo,2023,171021
Mineral,2039,919
Morgan,1999,26954
Elbert,2042,37904
Larimer,2037,450311
Larimer,2000,253087
Broomfield,2032,95013
La Plata,2004,46927
Mineral,2008,769
Pueblo,2048,193861
Phillips,2022,4540
El Paso,1996,476988
Montezuma,2040,29048
Cheyenne,2031,1722
Elbert,2006,22526
Denver,2018,702680
San Miguel,2012,7573
Crowley,2038,6117
Broomfield,2049,93978
Lake,2005,7287
Denver,2035,836496
Grand,2043,18762
Fremont,2030,49350
Jefferson,2015,565161
Lincoln,2031,6047
Dolores,2035,1919
Montezuma,2008,25197
Mineral,1994,648
Rio Grande,2032,11406
Phillips,2031,4507
Fremont,1996,41831
Bent,2040,5408
Costilla,2050,2941
San Miguel,2042,11109
Rio Grande,2024,11506
La Plata,2046,77242
Logan,2002,22098
Gilpin,1999,4538
Elbert,2021,26470
Lincoln,1999,6088
Baca,2038,3082
Bent,1995,5555
Chaffee,2038,21853
Baca,2046,2978
Mineral,2027,930
Montezuma,2004,24602
Chaffee,2050,22593
Las Animas,2003,16089
Gunnison,2032,18421
Kiowa,2014,1397
Mesa,2009,144794
Baca,2013,3635
Clear Creek,2007,9334
Morgan,2038,33113
Prowers,1995,13822
Grand,2015,14958
